SITE_ID;IGBP;LOCATION_LAT;LOCATION_LONG;LOCATION_ELEV;UTC_OFFSET
GR-HeK;URB;35.33613;25.1328;30.0;2.0
GR-HeM;URB;35.32343;25.13017;69.0;2.0
GR-Prt;;39.5434;21.4989;;
HU-Bug;GRA;46.6911;19.6013;111.0;1.0
HU-He1;CRO;46.955948;16.652025;253.0;1.0
HU-He2;GRA;46.95515;16.65266;250.0;
HU-Mat;GRA;47.8469;19.726;350.0;2.0
ID-JOP;EBF;-1.69306;103.39139;76.0;7.0
ID-PaB;OSH;-2.340796;114.0379;14.0;7.0
ID-PaD;EBF;-2.3460708;114.03641;26.0;7.0
ID-Pag;EBF;-2.3239167;113.90439;22.0;7.0
IE-Ca1;CRO;52.85879;-6.918136;59.0;0.0
IE-Ca2;GRA;52.86758;-6.91117;56.0;0.0
IE-CaC;CRO;52.85879;-6.918136;59.0;0.0
IE-CaN;CRO;52.85879;-6.918136;59.0;0.0
IE-Cra;WET;53.32308;-7.64177;55.0;0.0
IE-Doa;;52.94873;-7.253945;;
IE-Dri;GRA;51.986694;-8.751805;187.0;0.0
IE-Dy2;;53.314;-7.606;;
IE-Dyy;;53.314;-7.606;;
IE-Gwr;CRO;52.6365;-7.011306;51.0;0.0
IE-JtC;;52.298;-6.5;;1.0
IE-Kil;WET;51.96836;-9.900306;148.0;0.0
IE-LmW;;53.45647;-9.89284;;
IL-RmH;EBF;32.5555;34.947285;120.0;2.0
IL-Yat;ENF;31.345045;35.051987;660.0;2.0
IS-Gun;DBF;63.8333;-20.2167;78.0;0.0
IT-Amp;GRA;41.9041;13.605157;884.0;1.0
IT-BCi;CRO;40.52375;14.957444;10.0;1.0
IT-BFt;DBF;45.197754;10.741966;23.0;1.0
IT-Be1;CRO;46.00361;13.02556;30.0;1.0
IT-Be2;CRO;46.00431;13.02776;30.0;1.0
IT-Bon;ENF;39.47778;16.534721;1170.0;1.0
IT-BsB;DBF;45.11823;7.161995;650.0;1.0
IT-Bsn;GRA;45.11924;7.160429;;1.0
IT-CA1;DBF;42.38041;12.026561;200.0;1.0
IT-CA2;CRO;42.37722;12.026039;200.0;1.0
IT-CA3;DBF;42.38;12.0222;197.0;1.0
IT-Cas;CRO;45.070045;8.717523;89.0;1.0
IT-Col;DBF;41.84936;13.58814;1560.0;1.0
IT-Cp2;MF;41.704266;12.357293;17.0;1.0
IT-Cpz;EBF;41.70525;12.376106;68.0;1.0
IT-Ctv;CRO;37.64416;12.84638;120.0;1.0
IT-Isp;DBF;45.81264;8.633579;210.0;1.0
IT-LMa;DBF;45.15258;7.58259;350.0;1.0
IT-Lav;ENF;45.9562;11.28132;1353.0;1.0
IT-Lec;EBF;43.30359;11.26975;314.0;1.0
IT-Lpd;;35.5252;12.5365;;
IT-Lsn;OSH;45.740482;12.750297;1.0;1.0
IT-MBo;GRA;46.01468;11.045831;1550.0;1.0
IT-Mal;GRA;46.11402;11.70334;1730.0;1.0
IT-MtM;GRA;46.68702;10.579757;1450.0;1.0
IT-MtP;GRA;46.684284;10.585237;1550.0;1.0
IT-Niv;GRA;45.49091;7.13943;2750.0;1.0
IT-Noe;CSH;40.606174;8.151694;25.0;1.0
IT-Non;MF;44.69019;11.09109;20.0;1.0
IT-OXm;URB;43.774464;11.255111;66.0;1.0
IT-PCm;EBF;40.87728;14.2559;133.5;1.0
IT-PT1;DBF;45.20087;9.061039;60.0;1.0
IT-Pia;OSH;42.58387;10.0784;18.0;1.0
IT-Ren;ENF;46.58686;11.43369;1744.0;1.0
IT-Ro1;DBF;42.40812;11.93001;235.0;1.0
IT-Ro2;DBF;42.39026;11.92093;160.0;1.0
IT-Ro3;CRO;42.37539;11.91542;145.0;1.0
IT-Ro4;CRO;42.37333;11.91922;147.0;1.0
IT-SR2;ENF;43.73202;10.29091;4.0;1.0
IT-SRo;ENF;43.72786;10.284445;6.0;1.0
IT-Sas;URB;40.716957;8.575956;262.0;1.0
IT-To1;EBF;42.189674;11.921555;422.0;1.0
IT-Tol;EBF;42.18967;11.92155;473.0;1.0
IT-Tor;GRA;45.84444;7.578055;2168.0;1.0
IT-TrF;DNF;45.82376;7.56089;2100.0;1.0
IT-VdA;CRO;46.19678;11.11354;207.0;1.0
IT-Vig;DBF;45.29591;8.87554;100.0;1.0
JP-Api;DBF;40.001358;140.93658;831.0;9.0
JP-BBY;WET;43.32296;141.81079;17.0;9.0
JP-Fhk;DNF;35.443554;138.7647;1105.0;9.0
JP-Fmt;MF;35.638744;139.37975;168.0;9.0
JP-Ozm;URB;34.56347;135.53348;22.0;9.0
JP-Tak;DBF;36.146168;137.42311;1420.0;9.0
JP-Tef;DNF;45.05581;142.10712;79.47;9.0
JP-Tmd;GRA;42.735912;141.52315;117.0;9.0
KE-Aq1;CRO;-1.57781;37.067047;1616.0;3.0
KE-Aq2;CRO;-1.566199;37.100166;1621.0;3.0
KE-Kpt;GRA;-1.6141866;37.13311;1667.0;3.0
KR-CRK;CRO;38.2013;127.2497;182.0;9.0
KR-CmF;CRO;37.1599;127.65365;65.0;9.0
KR-GmP;CRO;35.74502;126.85222;5.0;9.0
KR-Hnm;CRO;34.5538;126.56992;12.0;9.0
KR-Kw1;ENF;37.74843;127.16261;142.0;9.0
KR-Nj1;CRO;35.02753;126.82093;32.3;9.0
KR-SmM;MF;37.93894;126.95471;275.0;9.0
KR-SoR;WAT;36.04045;126.7194;16.3;9.0
KR-TwB;DBF;37.30406;127.31395;251.0;9.0
KR-TwC;ENF;37.30493;127.31743;187.0;9.0
MY-LHP;EBF;4.201007;114.03908;200.0;8.0
NL-Ca1;GRA;51.971;4.927;0.7;1.0
NL-Ca2;GRA;52.003613;4.8055553;0.7;
NL-Dij;CRO;51.99206;5.6459446;9.0;1.0
NL-Haa;GRA;52.003613;4.8055553;-1.7;1.0
NL-Hor;GRA;52.24035;5.071301;2.2;1.0
NL-Hrw;GRA;51.972466;5.641228;7.0;1.0
NL-Lan;CRO;51.9536;4.9029;-0.7;1.0
NL-Loo;ENF;52.166447;5.74355;33.0;1.0
NL-Lut;CRO;53.398922;6.3560276;0.0;1.0
NL-Mol;CRO;51.65;4.6390834;0.5;1.0
NL-Vkp;GRA;51.980934;5.618825;4.9;1.0
NL-Vre;CRO;51.531666;5.844111;27.0;1.0
NL-Zee;CRO;52.334805;5.372589;-5.0;1.0
NO-And;WET;69.14278;16.02222;19.0;1.0
NO-Fns;SNO;60.59384;7.5271025;1210.0;1.0
NO-Hur;ENF;60.37163;11.07949;275.1308;1.0
NO-Ikr;WET;69.34;25.3;380.0;1.0
PL-Brd;CRO;52.43418;16.299522;93.0;1.0
PL-Tcz;ENF;53.19295;16.097483;105.0;1.0
PL-wet;WET;52.7623;16.3095;56.0;1.0
PT-Cor;EBF;39.138412;-8.332689;165.0;0.0
PT-Esp;EBF;38.6394;-8.6018;95.0;0.0
PT-Mi1;EBF;38.540638;-8.000055;264.2;0.0
PT-Mi2;GRA;38.4765;-8.02455;190.0;0.0
RU-Ch2;WET;68.61689;161.35089;4.0;11.0
RU-Che;WET;68.61304;161.34143;6.0;11.0
RU-Cok;OSH;70.82914;147.49428;48.0;11.0
RU-Ege;DNF;60.015514;133.824;203.0;9.0
RU-Fy2;ENF;56.4476;32.90188;265.0;3.0
RU-Fy3;OSH;56.4435;33.0478;266.0;3.0
RU-Fy4;WET;56.4727;33.0413;240.0;3.0
RU-Fyo;ENF;56.46153;32.922085;265.0;3.0
RU-Ha1;GRA;54.72517;90.00215;446.0;7.0
RU-Ha2;GRA;54.77301;89.95664;448.0;7.0
RU-Ha3;GRA;54.70455;90.07785;845.0;7.0
RU-Sam;GRA;72.3738;126.4958;;9.0
RU-SkP;DNF;62.25471;129.61855;217.0;9.0
RU-Tks;GRA;71.59427;128.88782;7.0;9.0
RU-Zot;WSA;60.8008;89.3508;121.0;7.0
