;fid;date;values;trend
18436;5.0;2016-03-20;1.6881226628502974;1.2635146792883791
18437;5.0;2016-03-21;1.740654427621227;1.2634007524779902
18438;5.0;2016-03-22;1.7931861923921566;1.263285912592815
18439;5.0;2016-03-23;1.8457179571630862;1.2631701270607205
18440;5.0;2016-03-24;1.898249721934016;1.263053361837752
18441;5.0;2016-03-25;1.9507814867049456;1.2629355812787995
18442;5.0;2016-03-26;1.8364194531845195;1.2628167480030843
18443;5.0;2016-03-27;1.7220574196640934;1.2626968228147184
18444;5.0;2016-03-28;1.6076953861436674;1.2625757648655318
18445;5.0;2016-03-29;1.4933333526232413;1.2624535318612427
18446;5.0;2016-03-30;1.3789713191028152;1.2623300801682213
18447;5.0;2016-03-31;1.2646092855823892;1.2622053648985991
18448;5.0;2016-04-01;1.150247252061963;1.2620793400086707
18449;5.0;2016-04-02;1.1251757564911475;1.2619519584364722
18450;5.0;2016-04-03;1.100104260920332;1.2618231722507138
18451;5.0;2016-04-04;1.0750327653495164;1.2616929327885609
18452;5.0;2016-04-05;1.049961269778701;1.2615611907963926
18453;5.0;2016-04-06;1.0248897742078855;1.261427896579488
18454;5.0;2016-04-07;0.99981827863707;1.2612930001642986
18455;5.0;2016-04-08;0.9747467830662544;1.2611564514511482
18456;5.0;2016-04-09;0.9496752874954388;1.2610182002958805
18457;5.0;2016-04-10;0.9246037919246234;1.2608781965763856
18458;5.0;2016-04-11;0.8995322963538078;1.2607363902469515
18459;5.0;2016-04-12;0.8744608007829924;1.2605927313301883
18460;5.0;2016-04-13;0.8493893052121768;1.2604471699183994
18461;5.0;2016-04-14;0.8243178096413613;1.2602996562799944
18462;5.0;2016-04-15;0.8203640430739948;1.2601501409987057
18463;5.0;2016-04-16;0.8164102765066283;1.2599985750708333
18464;5.0;2016-04-17;0.8124565099392619;1.2598449098052915
18465;5.0;2016-04-18;0.8085027433718953;1.2596890967124472
18466;5.0;2016-04-19;0.8045489768045289;1.2595310875688084
18467;5.0;2016-04-20;0.8005952102371624;1.2593708345318004
18468;5.0;2016-04-21;0.796641443669796;1.2592082902603543
18469;5.0;2016-04-22;0.7466847814867894;1.2590434080373765
18470;5.0;2016-04-23;0.6967281193037828;1.2588761419228733
18471;5.0;2016-04-24;0.6467714571207762;1.2587064470152576
18472;5.0;2016-04-25;0.6564076814800501;1.2585342797531458
18473;5.0;2016-04-26;0.666043905839324;1.2583595981571338
18474;5.0;2016-04-27;0.675680130198598;1.2581823617704175
18475;5.0;2016-04-28;0.6853163545578718;1.258002531557474
18476;5.0;2016-04-29;0.6949525789171457;1.2578200699632982
18477;5.0;2016-04-30;0.7045888032764196;1.257634941018174
18478;5.0;2016-05-01;0.7142250276356935;1.2574471104478953
18479;5.0;2016-05-02;1.4173929499089717;1.2572565457875886
18480;5.0;2016-05-03;2.1205608721822498;1.257063216246675
18481;5.0;2016-05-04;2.823728794455528;1.2568670915355105
18482;5.0;2016-05-05;2.5546199016166584;1.2566681403575584
18483;5.0;2016-05-06;2.285511008777789;1.2564663291702742
18484;5.0;2016-05-07;2.0164021159389187;1.2562616223403216
18485;5.0;2016-05-08;1.747293223100049;1.2560539826895918
18486;5.0;2016-05-09;1.4781843302611795;1.255843372108924
18487;5.0;2016-05-10;1.2090754374223096;1.255629752219932
18488;5.0;2016-05-11;0.93996654458344;1.2554130851129524
18489;5.0;2016-05-12;0.9869629824087025;1.2551933342669306
18490;5.0;2016-05-13;1.033959420233965;1.2549704654452298
18491;5.0;2016-05-14;1.0809558580592276;1.2547444471738973
18492;5.0;2016-05-15;1.12795229588449;1.254515251128478
18493;5.0;2016-05-16;1.1749487337097526;1.2542828524381449
18494;5.0;2016-05-17;1.2219451715350151;1.2540472295827247
18495;5.0;2016-05-18;1.2689416093602777;1.2538083642258995
18496;5.0;2016-05-19;1.3159380471855402;1.2535662412575823
18497;5.0;2016-05-20;1.3629344850108027;1.2533208488723888
18498;5.0;2016-05-21;1.4099309228360652;1.2530721785616732
18499;5.0;2016-05-22;1.2219767587135235;1.2528202250185767
18500;5.0;2016-05-23;1.0340225945909818;1.2525649861556727
18501;5.0;2016-05-24;0.84606843046844;1.2523064636976398
18502;5.0;2016-05-25;0.897914022307843;1.2520446639526817
18503;5.0;2016-05-26;0.9497596141472459;1.2517795984976208
18504;5.0;2016-05-27;1.0016052059866487;1.2515112843757972
18505;5.0;2016-05-28;1.0534507978260517;1.2512397441786964
18506;5.0;2016-05-29;1.1052963896654546;1.250965006191
18507;5.0;2016-05-30;1.1571419815048576;1.250687104528356
18508;5.0;2016-05-31;1.2089875733442605;1.2504060791535285
18509;5.0;2016-06-01;1.2608331651836633;1.250121975674576
18510;5.0;2016-06-02;1.3126787570230662;1.2498348450926606
18511;5.0;2016-06-03;1.3645243488624692;1.2495447436556912
18512;5.0;2016-06-04;1.416369940701872;1.2492517327067278
18513;5.0;2016-06-05;1.468215532541275;1.2489558785090562
18514;5.0;2016-06-06;1.5200611243806779;1.2486572521185386
18515;5.0;2016-06-07;1.5719067162200808;1.2483559292236166
18516;5.0;2016-06-08;1.6237523080594838;1.2480519899052653
18517;5.0;2016-06-09;1.6755978998988867;1.2477455182855708
18518;5.0;2016-06-10;1.7274434917382897;1.247436601950201
