TIMESTAMP_UTC;AOT;TCWV;B02;B03;B04;B05;B06;B07;B08;B8A;B11;B12
2016-03-05T00:00:00.000Z;0.083;0.390125;0.04547291666666667;0.07320416666666667;0.0834125;0.11314791666666668;0.16070208333333333;0.17673541666666667;0.19574166666666667;0.19532083333333333;0.20945625;0.14756875
2016-03-12T00:00:00.000Z;0.105;0.4250416666666667;0.061312500000000006;0.09380625000000001;0.10518333333333334;0.14094791666666667;0.19720000000000001;0.21563125;0.23564166666666667;0.2365375;0.2541625;0.18418125000000002
2016-03-15T00:00:00.000Z;;;;;;;;;;;;
2016-03-22T00:00:00.000Z;;;;;;;;;;;;
2016-03-25T00:00:00.000Z;0.083;0.5706666666666667;0.06573333333333334;0.09327291666666666;0.10386666666666668;0.1351291666666667;0.18193958333333332;0.1976854166666667;0.2142458333333333;0.21514375000000002;0.23553333333333332;0.16816041666666667
2016-04-01T00:00:00.000Z;0.116;0.5655625;0.06797708333333334;0.10449791666666668;0.11694166666666668;0.15577291666666668;0.2147895833333333;0.23133541666666665;0.2515145833333333;0.253575;0.2760416666666667;0.20346875
2016-04-04T00:00:00.000Z;;;;;;;;;;;;
2016-04-11T00:00:00.000Z;;;;;;;;;;;;
2016-04-14T00:00:00.000Z;0.083;0.7458333333333333;0.057225000000000005;0.0876875;0.09783541666666666;0.13088333333333332;0.18298541666666668;0.19789791666666667;0.2152458333333333;0.21706666666666666;0.24130625;0.17196458333333334
2016-04-21T00:00:00.000Z;0.116;0.8550416666666667;0.07308541666666667;0.11160416666666668;0.12406666666666669;0.16566458333333334;0.23127708333333333;0.25156666666666666;0.2695895833333333;0.27394166666666664;0.2989125;0.21861666666666665
2016-04-24T00:00:00.000Z;0.094;0.5635625;0.05655625;0.08823333333333334;0.09968125;0.13266458333333334;0.18804791666666668;0.20471250000000002;0.2237875;0.22498958333333333;0.2492833333333333;0.17665
2016-05-01T00:00:00.000Z;0.105;0.4687916666666667;0.07242291666666667;0.11032291666666667;0.1219375;0.16198125000000002;0.22835625;0.24671875000000001;0.2679916666666667;0.26864375;0.29399375;0.2165395833333333
2016-05-04T00:00:00.000Z;0.08808333333333333;0.4993958333333333;0.06512708333333334;0.09733541666666667;0.10672291666666668;0.14255416666666668;0.19925416666666668;0.21757083333333332;0.23677083333333332;0.23778333333333332;0.2592083333333333;0.18804583333333333
2016-05-11T00:00:00.000Z;0.105;0.928;0.096255;0.13085;0.132615;0.181235;0.26794;0.294385;0.312555;0.32171;0.32416;0.228595
2016-05-14T00:00:00.000Z;;;;;;;;;;;;
2016-05-21T00:00:00.000Z;0.138;1.2721666666666667;0.07997916666666667;0.11739166666666669;0.12805833333333333;0.17195208333333334;0.2415145833333333;0.26078125;0.27265;0.28176666666666667;0.3110541666666667;0.23114166666666666
2016-05-24T00:00:00.000Z;0.312;1.3694583333333332;0.06381666666666666;0.10440208333333333;0.11630833333333333;0.15766875;0.21750208333333332;0.2359083333333333;0.24680833333333332;0.2564;0.27520833333333333;0.19749583333333334
2016-06-10T00:00:00.000Z;;;;;;;;;;;;
2016-06-13T00:00:00.000Z;0.094;1.9024166666666669;0.06773958333333334;0.10179375;0.11547500000000001;0.15339583333333334;0.19989791666666668;0.21804375;0.22487500000000002;0.239625;0.27846875;0.2013125
2016-06-20T00:00:00.000Z;0.055;1.2842708333333333;0.08985416666666667;0.13170416666666668;0.14960208333333333;0.19462291666666667;0.2477458333333333;0.26695;0.27971250000000003;0.290725;0.33765625;0.25128125
2016-06-23T00:00:00.000Z;0.138;1.0381666666666667;0.06725;0.10280833333333333;0.12007083333333333;0.15948333333333334;0.2034729166666667;0.22007083333333333;0.23422500000000002;0.24199583333333333;0.2825333333333333;0.2021041666666667
