LAI,Kc
8.572628439185999e-07,0.4441015041477671
1.1112321554439756e-07,0.3950947244770642
1.372027067831442e-09,0.7114287052896031
1.3720270678310018e-09,0.6281280553052148
1.1112321554438574e-07,0.5462018205182209
8.572628439185805e-07,0.1588151614867868
3.292285152813333e-06,0.6407518032267203
8.99298181863405e-06,0.41900832448779074
2.005810504982335e-05,0.6305970428038847
3.910525624119143e-05,0.44787007639546117
6.92670040587553e-05,0.6976179351822104
0.00011418623678693592,0.39295259397951104
0.00017801075472352837,0.4354038645101673
0.0002653871093545504,0.49101048810279946
0.0003814536969796452,0.6985726109360662
0.0005318331153881024,0.41510265553031656
0.0007226237931046317,0.5121788233458515
0.0009603909016316744,0.43553355223926643
0.001252156562010179,0.495934821606066
0.0016053893579023352,0.4210950634915937
0.002027993168266693,0.43893110767666876
0.0025282953335471867,0.4931001637922429
0.0031150341701325778,0.3984942532241145
0.0037973458486589224,0.46785531181818846
0.004584750652526502,0.3597792116988542
0.0054871386337807925,0.3538845079094603
0.006514754684265067,0.5187954402395343
0.0076781830406886095,0.6476996671042268
0.008988331242968634,0.38182817175209377
0.010456413565894591,0.5249850933388495
0.012093933944830888,0.46663465034337914
0.013912668416814915,0.5983253088761687
0.01592464709902448,0.5948035012474063
0.018142135727178085,0.5484571779996233
0.0205776167769939,0.6158198656348737
0.02324377019236966,0.6968822911403031
0.026153453744449964,0.6261283185031128
0.029319683046227035,0.6283635526055753
0.03275561124776791,0.5843800211873252
0.03647450843757888,0.7382020173927076
0.04048974077600456,0.7413039338966647
0.04481474938691692,0.43413227358443807
0.049463029034270495,0.5915053038008107
0.054448106610395855,0.6431444455613907
0.05978351946316097,0.7016743171186712
0.0654827935893602,0.8214969774027617
0.07155942172188104,0.8063054178297079
0.0780268413383651,0.7050368480053056
0.08489841261920274,0.7422304549847533
0.09218739638280145,0.6316665864469345
0.0999069320261207,0.7264118121955343
0.10807001549850133,0.777307006603672
0.11668947733680442,0.8462650881737894
0.12577796078984002,0.7720937414849205
0.13534790005998507,0.5573709731416301
0.1454114986897885,0.6903954195081832
0.15598070812121495,0.7973900909478252
0.16706720645500983,0.8162010245830097
0.17868237743745197,0.9431511721158161
0.19083728970152813,0.9680227317079396
0.20354267628928388,1.032331410544255
0.21680891448180065,0.8833161848246217
0.2306460059629168,0.9135646146217697
0.24506355734242954,1.017814010378108
0.26007076106412386,1.0285097861531858
0.27567637672354023,0.9404959010711305
0.29188871281992806,0.8553013910200109
0.30871560896634903,0.7615087079403626
0.32616441858135864,0.7443300342994698
0.3442419920851672,0.8117955053250316
0.3629546606225828,0.8877053115174145
0.38230822033445244,0.7818833551781101
0.40230791719867265,0.9541135030745894
0.4229584324612028,1.2527220730246775
0.4442638686768129,1.0831812060449508
0.46622773637860554,1.2455348866893325
0.48885294139462515,1.3347511078158922
